
2025/03/18 (20:49:51) | ===> btop++ v.1.4.0
2025/03/18 (20:49:51) | WARNING: Intel GPU: Failed to initialize PMU
2025/03/18 (20:50:58) | WARNING: Failed to join _runner thread on exit!

2025/03/20 (01:47:41) | ===> btop++ v.1.4.0
2025/03/20 (01:47:41) | WARNING: Intel GPU: Failed to initialize PMU
2025/03/20 (01:48:07) | WARNING: Failed to join _runner thread on exit!

2025/03/20 (12:33:22) | ===> btop++ v.1.4.0
2025/03/20 (12:33:22) | WARNING: Intel GPU: Failed to initialize PMU
2025/03/20 (12:33:53) | WARNING: Failed to join _runner thread on exit!

2025/03/20 (12:33:54) | ===> btop++ v.1.4.0
2025/03/20 (12:33:54) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/23 (18:27:13) | ===> btop++ v.1.4.0
2025/03/23 (18:27:13) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/23 (20:19:53) | ===> btop++ v.1.4.0
2025/03/23 (20:19:53) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/28 (18:18:28) | ===> btop++ v.1.4.0
2025/03/28 (18:18:28) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/28 (19:28:28) | ===> btop++ v.1.4.0
2025/03/28 (19:28:28) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/28 (19:31:47) | ===> btop++ v.1.4.0
2025/03/28 (19:31:47) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/28 (19:36:37) | ===> btop++ v.1.4.0
2025/03/28 (19:36:37) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/28 (22:03:01) | ===> btop++ v.1.4.0
2025/03/28 (22:03:01) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/28 (22:03:34) | ===> btop++ v.1.4.0
2025/03/28 (22:03:34) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/28 (22:05:02) | ===> btop++ v.1.4.0
2025/03/28 (22:05:02) | WARNING: Intel GPU: Failed to initialize PMU
2025/03/28 (22:05:10) | WARNING: Failed to join _runner thread on exit!

2025/03/28 (22:06:41) | ===> btop++ v.1.4.0
2025/03/28 (22:06:41) | WARNING: Intel GPU: Failed to initialize PMU
2025/03/28 (22:06:47) | WARNING: Failed to join _runner thread on exit!

2025/03/28 (22:07:18) | ===> btop++ v.1.4.0
2025/03/28 (22:07:18) | WARNING: Intel GPU: Failed to initialize PMU
2025/03/28 (22:07:20) | WARNING: Failed to join _runner thread on exit!

2025/03/28 (22:09:52) | ===> btop++ v.1.4.0
2025/03/28 (22:09:52) | WARNING: Intel GPU: Failed to initialize PMU
2025/03/28 (22:11:05) | INFO: Logger set to INFO
2025/03/28 (22:11:05) | INFO: Logger set to DEBUG
2025/03/28 (22:11:35) | WARNING: Failed to join _runner thread on exit!

2025/03/28 (22:11:39) | ===> btop++ v.1.4.0
2025/03/28 (22:11:39) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/28 (22:14:43) | ===> btop++ v.1.4.0
2025/03/28 (22:14:43) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/28 (22:33:30) | ===> btop++ v.1.4.0
2025/03/28 (22:33:30) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/29 (08:23:26) | ===> btop++ v.1.4.0
2025/03/29 (08:23:26) | WARNING: Intel GPU: Failed to initialize PMU
2025/03/29 (08:23:54) | WARNING: Failed to join _runner thread on exit!

2025/03/29 (14:27:23) | ===> btop++ v.1.4.0
